delivery_date,loaded_vehicles
2024-08-13,2070
2024-08-14,2052
2024-08-15,1648
2024-08-16,1797
2024-08-17,790
2024-08-18,1
2024-08-19,1056
2024-08-20,2112
2024-08-21,2065
2024-08-22,1930
2024-08-23,1963
2024-08-24,893
2024-08-25,5
2024-08-26,1071
2024-08-27,2096
2024-08-28,2092
2024-08-29,2001
2024-08-30,1915
2024-08-31,951
2024-09-01,16
2024-09-02,880
2024-09-03,2064
2024-09-04,2147
2024-09-05,2130
2024-09-06,1996
2024-09-07,52
2024-09-09,1666
2024-09-10,2164
2024-09-11,2124
2024-09-12,2111
2024-09-13,1927
2024-09-14,872
2024-09-15,2
2024-09-16,1020
2024-09-17,2072
2024-09-18,2131
2024-09-19,2025
2024-09-20,2036
2024-09-21,818
2024-09-22,13
2024-09-23,1173
2024-09-24,2296
2024-09-25,2159
2024-09-26,2154
2024-09-27,2069
2024-09-28,955
2024-09-29,14
2024-09-30,1194
2024-10-01,2043
2024-10-02,2074
2024-10-03,1983
2024-10-04,2078
2024-10-05,930
2024-10-06,13
2024-10-07,1121
2024-10-08,2158
2024-10-09,2245
2024-10-10,2125
2024-10-11,2075
2024-10-12,249
2024-10-13,12
2024-10-14,1693
2024-10-15,2232
2024-10-16,2170
2024-10-17,2242
2024-10-18,2054
2024-10-19,901
2024-10-21,1137
2024-10-22,2262
2024-10-23,2249
2024-10-24,2075
2024-10-25,2093
2024-10-26,989
2024-10-27,10
2024-10-28,1100
2024-10-29,2221
2024-10-30,2271
2024-10-31,2080
2024-11-01,2180
2024-11-02,68
2024-11-04,1613
2024-11-05,2183
2024-11-06,2268
2024-11-07,2177
2024-11-08,2162
2024-11-09,905
2024-11-10,4
2024-11-11,1171
2024-11-12,2442
2024-11-13,2485
2024-11-14,2348
2024-11-15,113
2024-11-16,1176
2024-11-17,21
2024-11-18,1344
2024-11-19,2563
2024-11-20,1843
2024-11-21,2055
2024-11-22,2225
2024-11-23,1008
2024-11-24,8
2024-11-25,1415
2024-11-26,2519
2024-11-27,2356
2024-11-28,2330
2024-11-29,2184
2024-11-30,1140
2024-12-01,4
2024-12-02,753
2024-12-03,2390
2024-12-04,2298
2024-12-05,2251
2024-12-06,2340
2024-12-07,954
2024-12-09,1148
2024-12-10,2504
2024-12-11,2489
2024-12-12,2269
2024-12-13,2352
2024-12-14,1019
2024-12-16,1255
2024-12-17,2685
2024-12-18,2679
2024-12-19,2642
2024-12-20,2643
2024-12-21,1602
2024-12-22,11
2024-12-23,1653
2024-12-24,2667
2024-12-25,2
2024-12-26,2383
2024-12-27,2831
2024-12-28,1869
2024-12-29,5
2024-12-30,1918
2024-12-31,2322
2025-01-02,118
2025-01-03,2453
2025-01-04,1127
2025-01-06,1289
2025-01-07,2329
2025-01-08,2258
2025-01-09,2127
2025-01-10,2093
2025-01-11,933
2025-01-13,1114
2025-01-14,2228
2025-01-15,1987
2025-01-16,1898
2025-01-17,2045
2025-01-18,841
2025-01-20,1110
2025-01-21,2186
2025-01-22,2094
2025-01-23,1952
2025-01-24,2009
2025-01-25,836
2025-01-27,1027
2025-01-28,2233
2025-01-29,2123
2025-01-30,2033
2025-01-31,1978
2025-02-01,884
2025-02-02,10
2025-02-03,1012
2025-02-04,2211
2025-02-05,2147
2025-02-06,2029
2025-02-07,1986
2025-02-08,842
2025-02-09,4
2025-02-10,1088
2025-02-11,2354
2025-02-12,2069
2025-02-13,1958
2025-02-14,2084
2025-02-15,927
2025-02-17,1281
2025-02-18,2101
2025-02-19,2054
2025-02-20,1956
2025-02-21,1932
2025-02-22,862
2025-02-24,1023
2025-02-25,2275
2025-02-26,2294
2025-02-27,2173
2025-02-28,2103
2025-03-01,980
2025-03-03,715
2025-03-04,57
2025-03-05,1786
2025-03-06,1701
2025-03-07,2017
2025-03-08,971
2025-03-10,1179
2025-03-11,2194
2025-03-12,2012
2025-03-13,1998
2025-03-14,1959
2025-03-15,813
2025-03-17,1140
2025-03-18,2160
2025-03-19,1849
2025-03-20,1925
2025-03-21,2011
2025-03-22,757
2025-03-23,4
2025-03-24,1156
2025-03-25,2010
2025-03-26,2134
2025-03-27,2052
2025-03-28,2019
2025-03-29,876
2025-03-30,13
2025-03-31,1109
2025-04-01,2088
2025-04-02,2029
2025-04-03,1979
2025-04-04,1933
2025-04-05,766
2025-04-06,1
2025-04-07,1103
2025-04-08,2189
2025-04-09,2156
2025-04-10,2038
2025-04-11,2079
2025-04-12,875
2025-04-14,1308
2025-04-15,2394
2025-04-16,2315
2025-04-17,2071
2025-04-18,2
2025-04-19,963
2025-04-20,4
2025-04-21,63
2025-04-22,1596
2025-04-23,2506
2025-04-24,2234
2025-04-25,2186
2025-04-26,1018
2025-04-27,1
2025-04-28,1431
2025-04-29,2341
2025-04-30,2158
2025-05-01,10
2025-05-02,2330
2025-05-03,1051
2025-05-05,1508
2025-05-06,2302
2025-05-07,2290
2025-05-08,2215
2025-05-09,2182
2025-05-10,985
2025-05-11,2
2025-05-12,1329
2025-05-13,2168
2025-05-14,2282
2025-05-15,1918
2025-05-16,2091
2025-05-17,779
2025-05-19,805
